GEOGRAPHY,XLON,XLAT,BOUNDS,ACTIVITY_INDEX_TOTAL,WKT
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.02537,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.028132,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.035989,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.025969,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.040189,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.9048,34.39728,"-88.90549,34.39671,-88.90411,34.39784",0.029217,"POLYGON ((-88.90411 34.39784, -88.90549 34.39784, -88.90549 34.39671, -88.90411 34.39671, -88.90411 34.39784))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.034598,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.9048,34.39728,"-88.90549,34.39671,-88.90411,34.39784",0.028583,"POLYGON ((-88.90411 34.39784, -88.90549 34.39784, -88.90549 34.39671, -88.90411 34.39671, -88.90411 34.39784))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.020584,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.032945,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.035343,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231101,-88.904800415,34.397278368,"-88.90548706054688,34.39671178864244,-88.90411376953125,34.39784494644986",0.021277,"POLYGON ((-88.90411376953125 34.39784494644986, -88.90548706054688 34.39784494644986, -88.90548706054688 34.39671178864244, -88.90411376953125 34.39671178864244, -88.90411376953125 34.39784494644986))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.022222,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.022121,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.030118,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.022507,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
032002023320231103,-88.9048,34.39615,"-88.90549,34.39558,-88.90411,34.39671",0.024016,"POLYGON ((-88.90411 34.39671, -88.90549 34.39671, -88.90549 34.39558, -88.90411 34.39558, -88.90411 34.39671))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.026785,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.025862,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
032002023320231103,-88.904800415,34.396145202,"-88.90548706054688,34.395578615491694,-88.90411376953125,34.39671178864244",0.021573,"POLYGON ((-88.90411376953125 34.39671178864244, -88.90548706054688 34.39671178864244, -88.90548706054688 34.395578615491694, -88.90411376953125 34.395578615491694, -88.90411376953125 34.39671178864244))"
