GEO,X,Y,FID,CALCLOCATI,CALCLOCA_1,CALCLOCA_2,NAME,ADDRESS,CITY,STATE,ZIP,FORMATED_P,STATUS,ICON,TYPE_,OBJECTID
"{
  ""coordinates"": [
    -8.974860000000000e+01,
    3.031050000000000e+01
  ],
  ""type"": ""Point""
}",-89.7486,30.3105,1062,"30.31052900,-89.74863200",-89.748632,30.310529,FMCNA - SLIDELL,877 BROWNSWITCH RD,SLIDELL,LA,70458,Please call patient admission line,open,small_green,Dialysis Center,1069
"{
  ""coordinates"": [
    -9.008750000000001e+01,
    2.987710000000000e+01
  ],
  ""type"": ""Point""
}",-90.0875,29.8771,1063,"29.87708900,-90.08749400",-90.087494,29.877089,DAVITA - MARRERO DIALYSIS CENTER,1908 JUTLAND DR,HARVEY,LA,70058,Please call patient admission line,open,small_green,Dialysis Center,1070
"{
  ""coordinates"": [
    -9.110870000000000e+01,
    3.039920000000000e+01
  ],
  ""type"": ""Point""
}",-91.1087,30.3992,1064,"30.39924900,-91.10868100",-91.108681,30.399249,DaVita Essen Lane Dialysis,7703 PICARDY AVE,BATON ROUGE,LA,70808,Please call patient admission line,open,small_green,Dialysis Center,1071
"{
  ""coordinates"": [
    -9.086310000000000e+01,
    3.047490000000000e+01
  ],
  ""type"": ""Point""
}",-90.8631,30.4749,1065,"30.47490900,-90.86312000",-90.86312,30.474909,DaVita Walker Dialysis,28375 WALKER SOUTH RD,WALKER,LA,70785,Please call patient admission line,open,small_green,Dialysis Center,1072
"{
  ""coordinates"": [
    -9.178090000000000e+01,
    2.998730000000000e+01
  ],
  ""type"": ""Point""
}",-91.7809,29.9873,1066,"29.98729000,-91.78085600",-91.780856,29.98729,DCI - BAYOU TECHE,2708 E. MAIN ST,NEW IBERIA,LA,70560,Please call patient admission line,open,small_green,Dialysis Center,1073
"{
  ""coordinates"": [
    -9.379000000000001e+01,
    3.240180000000000e+01
  ],
  ""type"": ""Point""
}",-93.79,32.4018,1067,"32.40183100,-93.79003300",-93.790033,32.401831,DCI - ST JAMES,2020 BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71118,Please call patient admission line,open,small_green,Dialysis Center,1074
"{
  ""coordinates"": [
    -9.335939999999999e+01,
    3.024860000000000e+01
  ],
  ""type"": ""Point""
}",-93.3594,30.2486,1068,"30.24856900,-93.35940300",-93.359403,30.248569,FKC - CALCASIEU PARISH,1000 BEGLIS PARKWAY,SULPHUR,LA,70663,Please call patient admission line,open,small_green,Dialysis Center,1075
"{
  ""coordinates"": [
    -9.207780000000000e+01,
    3.112780000000000e+01
  ],
  ""type"": ""Point""
}",-92.0778,31.1278,1069,"31.12781100,-92.07780700",-92.077807,31.127811,FKC - MARKSVILLE,634 Tunica Dr W,Marksville,LA,71351,Please call patient admission line,open,small_green,Dialysis Center,1076
"{
  ""coordinates"": [
    -9.418000000000001e+01,
    3.312100000000000e+01
  ],
  ""type"": ""Point""
}",-94.18,33.121,1095,"33.12102600,-94.18000400",-94.180004,33.121026,NORTHEAST TEXAS DIALYSIS,413-B US HWY 59,ATLANTA,TX,75551,Please call patient admission line,open,small_green,Dialysis Center,1102
"{
  ""coordinates"": [
    -8.783530000000000e+01,
    3.252100000000000e+01
  ],
  ""type"": ""Point""
}",-87.8353,32.521,2052,"32.52104600,-87.83527800",-87.835278,32.521046,DaVita Demopolis Dialysis,305 S CEDAR AVE,DEMOPOLIS,AL,36732,Please call patient admission line,open,small_green,Dialysis Center,2062
